qualite_enseignement,charge_travail,interactivite,type_cours,niveau_etudiant,satisfaction
4,14,3,présentiel,L1,1
4,21,4,présentiel,L1,0
4,9,5,présentiel,L1,1
3,9,3,distanciel,L1,1
2,17,2,présentiel,L2,1
2,14,3,présentiel,L2,1
2,16,2,hybride,L1,1
2,9,2,présentiel,L2,1
4,13,4,distanciel,L3,1
3,12,3,présentiel,L1,1
2,10,3,distanciel,L1,1
5,20,5,distanciel,L2,1
4,13,5,présentiel,L2,1
3,19,2,hybride,L3,0
5,17,5,hybride,L1,1
3,13,3,présentiel,L2,1
2,13,2,présentiel,L2,1
2,25,1,présentiel,L1,0
4,35,4,présentiel,L1,0
4,15,5,présentiel,L3,1
5,10,4,hybride,L1,1
5,20,4,distanciel,L1,0
2,26,2,présentiel,L3,0
3,18,3,distanciel,L1,1
4,20,5,hybride,L3,0
4,23,4,présentiel,L1,0
5,17,5,présentiel,L1,1
4,24,5,présentiel,L2,1
2,11,3,distanciel,L3,1
5,15,5,présentiel,L1,1
2,17,2,hybride,L3,1
3,20,3,présentiel,L2,0
4,17,4,hybride,L1,1
5,15,5,présentiel,L1,1
4,18,4,distanciel,L3,1
5,21,5,présentiel,L1,1
3,15,2,distanciel,L1,1
2,13,1,distanciel,L1,1
4,12,5,hybride,L2,1
5,12,4,présentiel,L3,1
4,20,4,présentiel,L2,0
5,24,5,présentiel,L1,1
5,12,5,présentiel,L2,1
2,14,3,distanciel,L1,1
5,10,5,présentiel,L1,1
3,15,3,présentiel,L2,1
5,17,5,présentiel,L1,1
3,14,3,présentiel,L3,1
3,21,4,distanciel,L3,0
3,19,3,présentiel,L2,0
5,26,5,présentiel,L3,1
4,19,4,présentiel,L3,0
3,30,4,présentiel,L1,0
4,18,5,distanciel,L1,1
5,13,5,présentiel,L3,1
4,16,4,hybride,L3,1
3,12,4,distanciel,L2,1
3,15,2,distanciel,L1,1
4,18,4,présentiel,L3,1
4,15,3,distanciel,L2,1
5,23,5,présentiel,L1,1
3,11,3,présentiel,L2,1
4,18,5,hybride,L3,1
5,23,5,présentiel,L2,1
3,16,3,présentiel,L1,1
4,13,4,présentiel,L3,1
4,22,5,présentiel,L2,1
4,23,4,distanciel,L3,0
3,26,4,présentiel,L1,0
1,10,1,présentiel,L2,1
5,21,5,présentiel,L3,0
3,17,3,présentiel,L2,1
3,10,3,hybride,L2,1
4,12,3,présentiel,L1,1
3,15,1,présentiel,L3,1
4,14,4,distanciel,L1,1
2,35,2,distanciel,L3,0
4,35,5,présentiel,L2,0
